Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
63.315726949018426,63.6,0.008471250534057617,209.40790004000007,0.0,1.70754,-1.9965999999998996,149.5745719197622,0.0,3.5135586261749268,0.25522470474243164,-0.03619622811675072
63.41459360701265,63.7,0.009299993515014648,209.55868804000008,0.0,1.50787999999999,-1.9966000000001016,150.26835037279378,0.0,3.540881395339966,0.2732276916503906,-0.03619622811675072
63.51590029601357,63.8,0.009277582168579102,209.68951004000007,0.0,1.30821999999999,-1.9965999999999995,150.26835037279378,0.0,3.540881395339966,0.0,-0.04344324767589569
63.615531137009384,63.9,0.008889436721801758,209.80084880000007,0.0,1.1133876,-1.9483239999998991,150.61806386860118,0.0,3.546436071395874,0.05554676055908203,-0.04318888485431671
63.81557299999986,64.0,0.007352590560913086,209.89978480000008,0.0,0.989359999999997,-1.2402760000000301,152.75316717375006,0.0,3.5490305423736572,0.02594470977783203,-0.044765062630176544
63.82622005001758,64.1,0.01015782356262207,209.98680080000008,0.0,0.870159999999997,-1.1919999999999997,153.10842952044734,0.0,3.545837163925171,-0.03193378448486328,-0.048103537410497665
63.9160583630146,64.2,0.009742498397827148,210.06189680000008,0.0,0.750959999999998,-1.1919999999999908,153.4636218394491,0.0,3.547492742538452,0.0165557861328125,-0.044991444796323776
64.01589071701164,64.3,0.009894371032714844,210.12507280000008,0.0,0.631759999999998,-1.1919999999999997,153.81811440048432,0.0,3.536956548690796,-0.1053619384765625,-0.0555834099650383
64.11545718900743,64.4,0.009962797164916992,210.17632880000008,0.0,0.512559999999998,-1.1919999999999997,154.17260449184872,0.0,3.5389204025268555,0.019638538360595703,-0.05295475944876671
64.21594084001845,64.5,0.009539604187011719,210.21598664000007,0.0,0.396578399999998,-1.1598160000000002,154.5282177465588,0.0,3.558790445327759,0.1987004280090332,-0.0632898211479187
64.31570575601654,64.6,0.009191513061523438,210.24876664000007,0.0,0.327799999999999,-0.6877839999999902,154.88387958935814,0.0,3.5494837760925293,-0.09306669235229492,-0.056421756744384766
64.41594604999409,64.7,0.010567665100097656,210.27499064000008,0.0,0.262239999999999,-0.6556000000000001,155.59521372631747,0.0,3.5481133460998535,-0.013704299926757812,-0.056421756744384766
